Fecha,Temp_Max,Temp_Min,Temp_Prom,Humedad_Max,Humedad_Min,Humedad_Prom,Lluvia,Presion,Viento_Max,Año,Decada
1990-01-01,29.5,20.3,24.44,92,55,75.21,0.9,1007.8,8.9,1990,1990
1990-01-02,29.9,21.3,24.87,91,49,72.88,0.2,1006.82,8.9,1990,1990
1990-01-03,30.3,20.6,25.14,84,47,66.83,0.3,1005.49,7.9,1990,1990
1990-01-04,29.9,21.7,25.04,89,53,73.04,1.5,1005.89,7.2,1990,1990
1990-01-05,30.2,21.4,25.08,89,54,76.46,5.6,1005.76,6.9,1990,1990
1990-01-06,28.7,21.3,24.39,95,66,83.71,12.3,1005.99,7.2,1990,1990
1990-01-07,29.0,20.3,24.24,91,59,78.75,3.1,1005.35,8.3,1990,1990
1990-01-08,29.6,20.3,24.66,91,53,75.71,2.7,1006.02,7.8,1990,1990
1990-01-09,30.0,20.7,25.0,92,48,72.25,1.4,1006.96,6.5,1990,1990
1990-01-10,30.2,20.6,24.87,86,44,65.42,0.0,1006.21,8.9,1990,1990
1990-01-11,30.8,19.6,24.55,81,40,64.5,0.2,1005.72,9.1,1990,1990
1990-01-12,31.1,20.0,24.83,89,42,66.75,1.6,1006.68,8.8,1990,1990
1990-01-13,31.5,20.1,25.02,88,42,66.88,1.1,1007.18,8.5,1990,1990
1990-01-14,31.0,20.2,25.24,85,45,68.54,0.8,1006.27,8.5,1990,1990
1990-01-15,30.7,22.5,25.97,81,46,64.04,0.2,1005.1,9.8,1990,1990
1990-01-16,31.4,21.7,26.21,78,43,60.33,0.0,1003.34,11.6,1990,1990
1990-01-17,31.6,23.9,27.01,74,45,59.75,0.6,1002.46,8.4,1990,1990
1990-01-18,31.5,23.1,26.73,80,45,63.33,1.3,1002.5,7.6,1990,1990
1990-01-19,31.8,21.9,26.39,86,47,67.04,2.2,1002.98,8.0,1990,1990
1990-01-20,32.0,23.0,26.34,89,46,70.83,7.1,1003.07,7.0,1990,1990
1990-01-21,31.5,21.8,26.48,86,48,67.08,0.7,1002.69,7.3,1990,1990
1990-01-22,32.1,22.4,26.91,83,45,62.67,0.0,1002.38,8.9,1990,1990
1990-01-23,32.0,24.1,27.25,72,42,59.75,0.0,1001.23,16.3,1990,1990
1990-01-24,32.6,24.4,27.68,68,42,57.88,0.0,1000.24,12.5,1990,1990
1990-01-25,32.8,23.3,27.67,80,43,62.38,0.9,1001.28,8.6,1990,1990
1990-01-26,33.2,22.9,27.58,81,41,59.92,0.0,1002.9,12.9,1990,1990
1990-01-27,33.0,23.6,27.85,77,43,59.42,0.1,1002.39,9.0,1990,1990
1990-01-28,32.9,24.8,27.95,75,41,58.88,0.1,1001.29,12.2,1990,1990
1990-01-29,32.7,24.3,27.64,68,40,57.71,0.6,1000.7,9.9,1990,1990
1990-01-30,32.8,23.5,27.4,72,40,58.54,1.2,1001.9,9.5,1990,1990
1990-01-31,32.6,23.5,27.45,70,41,57.54,0.3,1003.07,9.9,1990,1990
1990-02-01,33.1,23.8,27.68,69,40,58.38,1.2,1003.8,9.5,1990,1990
1990-02-02,33.3,23.4,27.69,73,40,60.25,0.9,1004.73,8.7,1990,1990
1990-02-03,32.8,24.2,27.67,76,43,62.88,1.9,1004.81,7.2,1990,1990
1990-02-04,32.7,23.7,27.68,75,41,59.21,1.7,1005.32,8.0,1990,1990
1990-02-05,32.3,23.5,27.21,73,40,56.88,0.7,1006.76,8.7,1990,1990
1990-02-06,32.7,22.5,26.97,64,31,50.21,0.0,1006.78,9.8,1990,1990
1990-02-07,32.4,22.6,26.55,63,39,52.83,0.0,1005.94,11.6,1990,1990
1990-02-08,33.0,22.2,26.87,62,34,50.46,0.0,1005.94,12.1,1990,1990
1990-02-09,33.3,22.3,27.05,74,37,58.79,0.2,1006.17,9.8,1990,1990
1990-02-10,33.3,22.1,27.18,78,39,60.79,1.2,1005.27,8.2,1990,1990
1990-02-11,33.3,23.2,27.58,79,39,62.21,3.2,1005.3,7.3,1990,1990
1990-02-12,33.5,22.3,27.18,76,25,52.38,0.0,1005.83,10.5,1990,1990
1990-02-13,32.8,22.3,26.75,67,35,52.88,0.0,1006.92,11.5,1990,1990
1990-02-14,33.0,21.6,26.86,73,34,55.04,0.6,1007.2,9.4,1990,1990
1990-02-15,33.3,20.8,26.63,77,31,58.54,0.8,1007.58,9.0,1990,1990
1990-02-16,33.2,23.2,27.45,77,37,59.46,0.3,1007.3,7.0,1990,1990
1990-02-17,32.6,21.5,26.49,69,35,54.04,0.2,1007.21,10.2,1990,1990
1990-02-18,32.2,21.0,26.18,73,34,53.46,0.0,1008.21,10.2,1990,1990
1990-02-19,32.7,20.8,26.32,68,31,52.75,0.0,1008.3,9.8,1990,1990
1990-02-20,32.7,21.3,26.68,72,36,56.79,0.5,1007.87,9.0,1990,1990
1990-02-21,32.7,21.5,26.54,76,40,61.83,0.8,1007.96,8.6,1990,1990
1990-02-22,33.4,22.4,27.2,79,40,63.62,1.0,1007.64,9.1,1990,1990
1990-02-23,33.4,22.5,27.13,79,38,64.62,2.4,1007.46,8.4,1990,1990
1990-02-24,33.2,22.7,27.09,75,32,56.08,0.0,1007.45,10.3,1990,1990
1990-02-25,31.7,20.7,25.95,73,32,52.21,0.0,1007.39,16.9,1990,1990
1990-02-26,32.4,23.0,26.58,62,32,49.92,0.0,1007.78,14.2,1990,1990
1990-02-27,32.6,20.9,26.25,71,32,49.58,0.0,1006.95,14.1,1990,1990
1990-02-28,33.1,22.1,26.71,63,28,47.54,0.0,1006.69,11.6,1990,1990
1990-03-01,33.5,20.8,26.47,69,26,51.5,0.0,1007.05,10.5,1990,1990
1990-03-02,33.4,19.8,26.23,74,30,55.33,0.2,1007.25,9.3,1990,1990
1990-03-03,33.1,20.5,26.5,81,34,60.88,0.8,1007.87,10.8,1990,1990
1990-03-04,33.3,22.2,27.2,78,34,58.33,0.1,1007.2,7.4,1990,1990
1990-03-05,33.7,22.3,27.58,74,30,53.38,0.0,1006.46,9.7,1990,1990
1990-03-06,33.2,21.8,26.98,72,37,54.54,0.0,1004.52,10.6,1990,1990
1990-03-07,33.6,23.8,27.6,68,35,53.5,0.0,1004.15,11.9,1990,1990
1990-03-08,33.2,23.2,27.1,66,32,51.54,0.0,1003.74,16.5,1990,1990
1990-03-09,33.5,23.6,27.48,63,35,52.04,0.0,1003.59,17.8,1990,1990
1990-03-10,34.1,24.9,28.5,66,37,54.04,0.0,1003.3,17.6,1990,1990
1990-03-11,34.2,25.1,28.6,71,39,57.29,0.0,1003.94,12.9,1990,1990
1990-03-12,33.9,25.2,28.54,71,40,58.54,0.0,1003.22,14.6,1990,1990
1990-03-13,34.5,24.7,28.72,68,37,54.33,0.0,1001.72,16.9,1990,1990
1990-03-14,34.6,24.5,28.75,74,39,58.17,1.9,1001.26,10.3,1990,1990
1990-03-15,33.3,24.2,27.81,85,47,70.38,6.5,1003.19,6.9,1990,1990
1990-03-16,33.2,24.7,27.28,88,48,72.83,5.8,1003.88,5.9,1990,1990
1990-03-17,33.1,23.6,27.19,90,47,73.25,7.1,1004.28,5.8,1990,1990
1990-03-18,32.8,23.1,27.39,84,42,65.83,0.9,1005.12,8.4,1990,1990
1990-03-19,33.3,22.3,27.65,82,40,60.21,1.2,1005.45,8.1,1990,1990
1990-03-20,33.0,24.5,27.78,67,40,55.21,0.4,1005.42,12.6,1990,1990
1990-03-21,33.0,23.8,27.35,59,35,50.21,0.0,1005.62,14.3,1990,1990
1990-03-22,34.4,23.3,27.75,58,22,38.71,0.0,1005.61,15.4,1990,1990
1990-03-23,33.7,23.1,27.68,62,35,46.92,0.0,1005.28,14.3,1990,1990
1990-03-24,34.0,24.2,28.1,65,33,52.58,0.3,1005.36,10.1,1990,1990
1990-03-25,34.6,22.8,28.01,69,29,52.42,0.2,1006.89,9.7,1990,1990
1990-03-26,34.3,23.6,28.15,70,36,56.42,0.0,1007.42,9.1,1990,1990
