time,temperature,humidity,rain,pressure,wind_speed
2026-01-01T00:00,24.4,99,0.0,1006.1,1.8
2026-01-01T01:00,24.6,91,0.0,1005.3,8.0
2026-01-01T02:00,24.2,93,0.0,1004.9,1.7
2026-01-01T03:00,24.0,94,0.0,1004.7,3.1
2026-01-01T04:00,23.8,94,0.1,1004.7,5.4
2026-01-01T05:00,23.8,93,0.0,1005.2,4.4
2026-01-01T06:00,23.3,96,0.0,1005.6,0.9
2026-01-01T07:00,23.8,96,0.0,1005.4,1.1
2026-01-01T08:00,24.8,91,0.0,1006.5,1.5
2026-01-01T09:00,26.3,83,0.0,1007.3,2.7
2026-01-01T10:00,27.6,75,0.0,1007.5,3.1
2026-01-01T11:00,29.0,69,0.0,1007.4,3.0
2026-01-01T12:00,29.9,64,0.0,1006.7,3.0
2026-01-01T13:00,29.8,61,0.0,1006.1,6.0
2026-01-01T14:00,29.1,67,0.0,1005.1,9.9
2026-01-01T15:00,29.4,66,0.0,1004.3,8.9
2026-01-01T16:00,29.0,69,0.0,1004.0,6.7
2026-01-01T17:00,28.5,71,0.0,1004.1,5.6
2026-01-01T18:00,27.4,76,0.0,1004.5,7.0
2026-01-01T19:00,26.5,78,0.0,1004.9,8.5
2026-01-01T20:00,25.8,83,0.0,1005.2,0.5
2026-01-01T21:00,25.0,89,0.0,1005.6,2.2
2026-01-01T22:00,24.5,94,0.0,1006.2,2.8
2026-01-01T23:00,24.4,96,0.0,1006.4,4.0
2026-01-02T00:00,24.5,92,0.0,1006.5,7.3
2026-01-02T01:00,24.1,94,0.0,1005.9,5.4
2026-01-02T02:00,23.2,97,0.0,1005.2,0.9
2026-01-02T03:00,22.9,98,0.0,1004.6,2.2
2026-01-02T04:00,22.7,98,0.0,1004.6,2.7
2026-01-02T05:00,22.8,96,0.0,1004.9,5.9
2026-01-02T06:00,22.7,95,0.0,1005.1,5.3
2026-01-02T07:00,22.6,95,0.0,1004.7,5.3
2026-01-02T08:00,24.6,85,0.0,1004.7,4.9
2026-01-02T09:00,27.0,75,0.0,1005.7,3.6
2026-01-02T10:00,28.4,71,0.0,1006.3,5.4
2026-01-02T11:00,29.2,64,0.0,1006.6,2.6
2026-01-02T12:00,29.5,61,0.0,1005.8,0.6
2026-01-02T13:00,29.5,63,0.0,1005.3,9.3
2026-01-02T14:00,28.5,73,0.1,1004.4,10.8
2026-01-02T15:00,27.8,76,0.1,1003.7,11.1
2026-01-02T16:00,28.4,74,0.1,1003.4,7.3
2026-01-02T17:00,27.5,76,0.1,1003.6,6.1
2026-01-02T18:00,26.4,80,0.0,1004.4,6.2
2026-01-02T19:00,24.1,96,0.2,1005.2,3.5
2026-01-02T20:00,24.0,98,0.1,1005.6,2.3
2026-01-02T21:00,23.9,98,0.0,1006.4,3.1
2026-01-02T22:00,23.8,99,0.0,1006.7,2.2
2026-01-02T23:00,23.4,99,0.0,1007.3,1.9
2026-01-03T00:00,23.4,100,0.0,1007.2,3.4
2026-01-03T01:00,23.4,99,0.0,1006.7,4.7
2026-01-03T02:00,23.0,99,0.0,1005.9,3.1
2026-01-03T03:00,22.9,98,0.0,1005.2,4.8
2026-01-03T04:00,22.6,98,0.0,1004.8,3.3
2026-01-03T05:00,22.3,99,0.0,1004.9,4.5
2026-01-03T06:00,21.9,99,0.0,1005.0,2.1
2026-01-03T07:00,23.0,92,0.0,1006.1,1.8
2026-01-03T08:00,24.3,91,0.0,1006.8,4.5
2026-01-03T09:00,26.5,83,0.0,1007.3,2.5
2026-01-03T10:00,28.1,74,0.0,1007.6,2.2
2026-01-03T11:00,29.2,73,0.0,1007.5,5.2
2026-01-03T12:00,29.6,70,0.0,1006.7,5.1
2026-01-03T13:00,29.2,69,0.0,1006.2,7.9
2026-01-03T14:00,28.9,69,0.7,1005.2,10.4
2026-01-03T15:00,27.3,78,6.0,1004.8,10.4
2026-01-03T16:00,26.5,78,3.5,1004.6,6.4
2026-01-03T17:00,25.5,88,1.4,1004.3,6.3
2026-01-03T18:00,24.5,92,1.0,1004.9,2.0
2026-01-03T19:00,23.3,96,0.0,1005.7,1.2
2026-01-03T20:00,23.5,96,0.3,1005.8,2.8
2026-01-03T21:00,23.2,98,0.0,1006.7,2.1
2026-01-03T22:00,22.9,99,0.0,1007.0,1.3
2026-01-03T23:00,22.9,100,0.0,1007.0,2.2
2026-01-04T00:00,22.6,99,0.0,1006.5,1.9
2026-01-04T01:00,22.6,99,0.0,1006.3,2.7
2026-01-04T02:00,22.3,99,0.0,1005.5,2.1
2026-01-04T03:00,22.1,100,0.0,1005.2,3.7
2026-01-04T04:00,21.9,100,0.0,1005.3,4.5
2026-01-04T05:00,21.6,100,0.0,1005.4,4.3
2026-01-04T06:00,21.4,100,0.0,1005.9,5.4
2026-01-04T07:00,21.8,100,0.0,1006.1,0.3
2026-01-04T08:00,23.6,96,0.0,1007.0,2.5
2026-01-04T09:00,25.9,85,0.0,1008.2,1.0
2026-01-04T10:00,27.8,75,0.0,1008.3,2.8
2026-01-04T11:00,29.1,68,0.0,1008.0,4.8
2026-01-04T12:00,29.6,66,0.1,1007.2,7.6
2026-01-04T13:00,29.3,67,0.6,1006.8,10.1
2026-01-04T14:00,29.0,69,0.5,1006.1,11.2
2026-01-04T15:00,28.6,71,0.5,1005.4,10.7
2026-01-04T16:00,28.4,72,0.4,1004.8,8.2
2026-01-04T17:00,27.8,75,0.3,1004.4,6.4
2026-01-04T18:00,26.8,82,0.0,1004.6,6.6
2026-01-04T19:00,25.9,88,0.0,1005.6,2.1
2026-01-04T20:00,24.9,94,0.0,1006.4,2.6
2026-01-04T21:00,24.5,97,0.0,1007.3,3.6
2026-01-04T22:00,24.0,97,0.0,1007.6,6.1
2026-01-04T23:00,23.8,96,0.0,1007.5,6.4
2026-01-05T00:00,23.6,96,0.0,1007.2,5.0
2026-01-05T01:00,23.4,96,0.0,1006.8,7.2
2026-01-05T02:00,22.8,97,0.0,1006.2,4.3
2026-01-05T03:00,22.4,94,0.0,1005.4,5.6
2026-01-05T04:00,22.0,93,0.0,1005.3,7.3
2026-01-05T05:00,22.0,92,0.0,1005.7,6.7
2026-01-05T06:00,21.9,94,0.0,1005.8,5.1
2026-01-05T07:00,21.8,95,0.0,1006.1,4.6
2026-01-05T08:00,23.9,87,0.0,1007.0,3.9
2026-01-05T09:00,26.5,72,0.0,1007.6,2.1
2026-01-05T10:00,28.1,66,0.0,1007.8,3.8
2026-01-05T11:00,29.2,63,0.0,1007.5,3.5
2026-01-05T12:00,30.3,59,0.0,1006.6,2.5
2026-01-05T13:00,30.5,58,0.0,1006.1,9.0
2026-01-05T14:00,29.8,63,0.1,1005.2,11.9
2026-01-05T15:00,29.0,65,0.1,1004.7,9.5
2026-01-05T16:00,28.8,66,0.0,1004.6,4.9
2026-01-05T17:00,27.6,71,0.0,1004.6,5.4
2026-01-05T18:00,26.8,77,0.0,1005.1,4.0
2026-01-05T19:00,26.0,84,0.0,1005.6,4.2
2026-01-05T20:00,25.5,88,0.0,1006.1,3.9
2026-01-05T21:00,25.0,91,0.0,1006.8,3.7
2026-01-05T22:00,24.5,93,0.0,1007.3,3.6
2026-01-05T23:00,24.0,94,0.0,1007.1,4.2
2026-01-06T00:00,24.0,91,0.0,1006.8,5.4
2026-01-06T01:00,23.5,96,0.0,1006.4,2.3
2026-01-06T02:00,23.0,95,0.0,1005.8,4.2
2026-01-06T03:00,22.8,94,0.0,1005.2,3.8
2026-01-06T04:00,23.0,92,0.0,1005.0,4.9
2026-01-06T05:00,22.5,94,0.0,1005.2,5.7
2026-01-06T06:00,22.0,96,0.0,1005.6,3.2
2026-01-06T07:00,22.2,97,0.0,1005.9,3.1
2026-01-06T08:00,24.0,91,0.0,1006.7,4.8
2026-01-06T09:00,26.6,78,0.0,1007.3,2.6
2026-01-06T10:00,28.1,70,0.0,1007.5,1.9
2026-01-06T11:00,29.0,65,0.0,1007.3,1.9
2026-01-06T12:00,29.6,62,0.1,1006.4,4.1
2026-01-06T13:00,29.2,65,0.1,1006.1,9.1
2026-01-06T14:00,28.6,71,0.5,1005.0,10.2
2026-01-06T15:00,27.5,73,0.6,1004.5,10.6
2026-01-06T16:00,27.2,76,0.2,1004.0,7.5
2026-01-06T17:00,27.0,75,0.4,1004.0,8.0
2026-01-06T18:00,25.8,82,0.0,1004.4,8.7
2026-01-06T19:00,24.4,95,0.0,1005.2,0.6
2026-01-06T20:00,24.2,97,0.0,1005.7,1.7
2026-01-06T21:00,23.8,99,0.0,1006.3,0.2
2026-01-06T22:00,23.2,100,0.0,1006.7,0.8
2026-01-06T23:00,23.1,100,0.0,1006.7,3.3
2026-01-07T00:00,22.8,100,0.0,1006.3,3.8
2026-01-07T01:00,22.4,100,0.0,1006.0,1.3
2026-01-07T02:00,22.1,100,0.0,1005.4,1.7
2026-01-07T03:00,22.0,100,0.0,1005.0,4.5
2026-01-07T04:00,22.0,100,0.0,1005.0,4.8
2026-01-07T05:00,21.5,100,0.0,1004.8,3.4
2026-01-07T06:00,21.0,100,0.0,1005.2,1.3
2026-01-07T07:00,22.5,94,0.0,1005.6,7.0
2026-01-07T08:00,24.1,91,0.0,1006.5,4.7
2026-01-07T09:00,26.1,83,0.0,1007.2,2.0
2026-01-07T10:00,27.5,73,0.0,1007.1,2.4
2026-01-07T11:00,29.0,65,0.0,1006.6,1.7
2026-01-07T12:00,30.1,61,0.0,1005.5,3.6
2026-01-07T13:00,30.0,60,0.0,1004.8,4.7
2026-01-07T14:00,29.9,64,0.2,1003.5,7.1
2026-01-07T15:00,29.2,68,0.3,1002.9,9.8
2026-01-07T16:00,28.0,75,0.3,1002.8,12.0
